Удельный расход кокса (кг/т),Чугун.Si,Чугун.P,t колошникового газа 4 (°С),t колошникового газа 3 (°С),t колошникового газа 1 (°С),t колошникового газа 2 (°С),t колошникового газа в пылеуловителе (°С),Чугун.Ti,Уровень засыпи (юг) (м),Положение клапана малый снорт (%),Уровень засыпи (север) (м),Уровень засыпи (запад) (м),Уровень засыпи (восток) (м),Длительность простоя (сут),t периферийных газов 5 (°С),O₂ в горячем дутье,Колошниковый газ (H₂),Чугун.C,Содержание кислорода в дутье (%),Перепад давлений нижний (ат),Колошниковый газ (CO₂),Расход холодного дутья (м³/ч),Перепад давлений общий (ат),Расход природного газа (м³/ч),Выход колошникового газа (м³/ч),Шлак,упдп,CO₂ в колошниковом газе (%)
465.9192166,,,164.9717738,197.3615793,165.0294806,167.5961615,158.011261,,1.483350279,0.438330263,1.430117366,1.297917607,1.708496173,0.0,521.8863246,26.3333327,7.400000095,,26.73438994,0.955072912,18.76666705,203171.349,1.216300363,12998.42297,276679.4596,,,
485.3870535,,,168.6176764,207.8921591,173.0498695,169.5037346,161.1644999,,1.092615547,1.115093165,1.093032522,0.928822679,1.346015076,0.0,539.1548805,26.40000025,7.133333365,,26.56240757,0.934741616,18.73333359,206335.2507,1.200866347,13348.18807,282161.6979,,,
470.1665459,,,170.9317983,207.5842063,165.2386913,175.4703096,163.0914345,,1.456607225,1.983227512,1.4258529,1.273843634,1.706447691,0.0,526.681483,26.70000013,7.26666673,,26.62001578,0.932128477,18.46666654,203472.5117,1.186131949,12998.70142,275700.7695,,,
476.5486015,,,186.8664761,215.9982408,176.3652713,186.2937082,172.7612604,,1.27204444,0.467398438,1.243031606,1.132564177,1.516173845,0.0,570.0988719,26.13333321,7.066666603,,25.95589153,0.919805564,18.33333333,206106.0313,1.169880783,12999.06669,277872.543,,,
468.8651042,,,192.899683,235.4316069,179.5507476,190.807731,182.5974731,,1.060109027,0.309990652,1.039215816,0.923248731,1.336298883,0.0,610.7198105,25.40000025,7.133333206,,25.86403131,0.922730674,18.06666692,210564.2161,1.179239551,12998.35706,286918.7396,,,
468.4037425,,,183.0434024,218.0455907,168.5597744,180.6988138,171.010217,,1.133124712,0.168811458,1.1310041,0.995094905,1.35622477,0.0,567.732722,25.73333295,7.066666603,,25.80319341,0.931176506,18.23333359,211173.3848,1.184630786,12982.34753,286532.7982,,,
470.6464748,,,184.6050828,221.9494521,167.522714,177.774931,171.6268953,,1.069964585,0.779047337,1.050194616,0.934051101,1.312797979,0.0,574.9700368,25.59999975,7.0,,26.25715065,0.939244797,18.0,209957.6686,1.19743983,13328.15466,287851.0065,,,
474.2107838,,,197.6728446,228.3263957,181.6774578,189.0979481,174.5062447,,1.440409705,1.006890146,1.399106311,1.282044085,1.661909799,0.208333333,572.6737798,26.5,7.299999952,,25.37926793,0.81255452,18.5,185958.1108,1.038731674,11589.94683,262418.1787,,,
472.2681424,,,184.8755995,228.6588631,165.7538668,177.4084269,172.8946431,,1.111089297,1.335658395,1.071865618,0.964633385,1.382718697,0.0,559.1294352,26.29999987,7.333333333,,26.72448381,0.923889476,18.26666705,215534.8874,1.189729164,13997.68103,303524.1563,,,17.33587497
468.3649562,,,184.3793805,221.2061297,170.7515844,182.6777128,171.3467414,,1.11429392,1.945056409,1.128085474,0.999802319,1.380579109,0.0,572.5009867,26.23333359,7.300000032,,26.46200204,0.909418988,18.0,216065.5807,1.175262724,13961.47148,303860.3503,,,17.22952731
467.6399986,,,177.3271306,211.1559232,161.2317556,165.941728,161.7663841,,1.117997398,1.663330011,1.072056033,1.00840795,1.343043188,0.041666667,577.9150035,25.66666667,7.133333365,,26.03873547,0.896068879,18.46666654,207379.0023,1.145910509,13185.03432,294208.2064,,,16.65659567
490.4259091,,,171.6860193,214.9977398,157.6616529,164.8022448,158.3488216,,1.184887757,9.246610633,1.116043848,1.01116134,1.429449414,0.041666667,537.7179642,25.86666679,7.266666571,,25.81748811,0.892885399,18.06666629,208575.4489,1.135035325,13064.02865,283851.0501,,,16.36758999
468.4166127,,,192.7686227,235.9476376,182.0504386,192.3372593,178.644371,,1.059088277,14.37687162,1.101592533,1.050728147,1.333631287,0.0,596.864062,25.43333308,7.466666698,,26.24433168,0.920440398,17.96666654,206432.4349,1.174657688,13498.68457,285403.6003,,,14.87271583
461.3360984,,,170.8935076,209.52174,164.7860851,171.6171869,162.1955878,,1.065345074,1.677464974,1.121955032,1.052417703,1.301593254,0.0,541.6455015,26.43333308,7.399999936,,26.23626351,0.929481772,18.73333359,208000.0163,1.172934324,13498.47168,289958.2878,,,15.06426922
469.0887579,,,174.584348,216.4468123,159.787536,167.6569176,162.1859277,,1.089721595,1.410300872,1.028154818,0.963539111,1.335259537,0.0,524.1414032,25.60000038,7.399999936,,26.11232464,0.928720122,18.16666667,210200.041,1.182525704,13498.58183,292839.8047,,,16.58605766
467.0386149,,,193.4929237,237.3181318,177.8230737,183.7807744,176.4735451,,1.045769212,3.019094759,0.974348694,0.945442006,1.305842837,0.0,515.078804,25.63333321,7.73333327,,25.89129702,0.937710067,18.30000051,209276.0592,1.191288476,13498.93188,291238.1745,,,17.76305882
454.0819399,,,183.6522694,223.0802129,171.7905922,177.3446312,168.7826475,,1.079182222,0.836714758,1.0370988,0.955229657,1.341544583,0.0,544.408357,25.86666679,7.866666794,,26.46672519,0.948713546,17.83333333,207422.1725,1.203866333,13489.94478,292425.1966,,,18.20501423
460.2926128,,,178.2714678,218.987751,163.7466125,171.6841882,163.0620035,,1.073597824,0.809540739,1.013509544,0.871661646,1.296229079,0.0,513.7183037,26.59999975,7.5,,25.75864267,0.935593178,18.33333333,208571.832,1.1767212,13849.51135,293109.1602,,,18.40901915
486.7025098,,,168.7428424,208.7143834,152.958552,157.8004761,154.0159041,,1.145048181,2.378452399,1.054532848,0.920416283,1.361837054,0.0,490.0112063,25.43333371,7.166666667,,25.85775956,0.914605044,18.13333384,210379.9466,1.16617852,13919.59574,297572.2865,,,18.50165598
475.5733369,,,190.3117892,220.5048828,176.7253157,174.9209677,169.5402622,,1.079604479,8.703846716,1.034379644,0.933094735,1.284316078,0.0,555.7315915,25.89999962,7.366666635,,25.3581148,0.919666099,18.29999987,205925.8158,1.180496524,13657.13574,289887.7305,,,18.29133534
456.818979,,,199.9163799,233.3747813,186.3720932,192.007782,180.8697389,,1.036208838,14.28644057,1.029831526,0.925760053,1.250488684,0.0,565.9821625,25.29999987,7.133333206,,25.31624269,0.91695256,18.0,202415.3854,1.186795374,13499.13989,281911.6536,,,18.37167541
461.7980033,,,190.3812122,222.1106593,182.2978484,185.9665165,171.5121142,,1.140239281,11.38049753,1.14530057,0.975618519,1.349522027,0.125,558.6238963,26.20000013,7.200000127,,25.29612009,0.843077846,18.63333384,190954.508,1.086872686,12129.20567,260789.3408,,,18.30221184
473.7255337,,,180.7495683,216.9221789,168.380923,177.7681319,165.7381732,,1.131659048,0.426072221,1.112848212,0.973884781,1.326608961,0.0,500.4833425,26.33333333,7.300000032,,25.7294786,0.905377321,17.66666667,208761.444,1.169273138,13366.80188,292791.3867,,,18.67071668
479.8210603,,,193.5862821,223.4177373,181.5889537,189.2674065,176.5463689,,1.302276281,4.16254911,1.297936325,1.162367436,1.527391046,0.0,552.5585912,26.90000025,7.433333397,,25.52071524,0.907606107,18.46666718,206617.6745,1.170675293,13499.01412,292588.2396,,,18.37466455
466.4307042,,,175.1482728,217.151612,166.9314836,168.6402709,164.1415367,,1.095006049,2.86832763,1.059813154,0.918551393,1.312485913,0.0,507.9356766,26.0,7.100000064,,25.64919114,0.932195611,17.76666641,208056.3177,1.191426794,13589.44071,294578.444,,,18.45318071
486.6905475,,,179.1658649,218.7841314,172.9946213,176.7544111,166.5070534,,1.036946694,2.843070021,1.041099884,0.878412835,1.264990926,0.0,520.7660459,26.82499981,5.550000072,,26.06912414,0.946824079,13.77499962,209284.9935,1.208491052,13998.61056,296764.9583,,,18.56652641
467.697041,,,180.0271155,215.5035934,173.6146425,172.5443166,165.2163181,,1.084042296,7.497071731,1.047203206,0.911691286,1.26928029,0.0,520.8892148,27.60000038,7.466666698,,26.73841484,0.949639012,18.5,206234.7161,1.210225622,14411.17061,295094.7318,,,18.83670243
