Количество чугуна (т),Перепад давлений общий (ат),Перепад давлений нижний (ат),Расход природного газа (м³/ч),Расход холодного дутья (м³/ч),Выход колошникового газа (м³/ч),Колошниковый газ (H₂),O₂ в горячем дутье,t колошникового газа 2 (°С),t колошникового газа 1 (°С),Уровень засыпи (север) (м),t периферийных газов 5 (°С),t колошникового газа 4 (°С),t колошникового газа 3 (°С),Уровень засыпи (запад) (м),Уровень засыпи (восток) (м)
4098.783,1.212143814,0.943022574,12999.99727,202037.1836,274458.6992,7.633333365,26.46666654,147.9663973,159.9548105,1.017113852,436.6631559,160.6211007,192.7235724,0.981793786,1.34968772
4116.73,1.203491896,0.940030669,12999.94535,204205.7793,275480.7344,7.199999968,26.20000013,150.9706465,166.6197999,0.987843084,446.7322566,165.5601934,196.0656401,0.964860529,1.313155269
3943.386,1.182648833,0.922051792,12999.26135,199536.3301,269531.2181,7.26666673,26.43333371,174.2059326,174.7549852,1.418249299,496.008208,175.5848064,204.7854023,1.31480471,1.700647066
3815.39,1.199740176,0.933445891,12998.75354,194067.862,260738.8145,7.333333492,26.43333308,176.406868,175.0209853,1.420959314,428.0404371,172.024608,196.4537601,1.342201355,1.715533967
4176.285,1.150618037,0.911278933,12977.32389,201071.0586,274064.6081,7.299999873,26.30000051,163.3327732,167.1527634,1.422471792,474.1091792,167.2055798,184.8703918,1.374514212,1.721933424
4090.508,1.143105681,0.898939438,12999.79093,201953.5365,272750.9753,7.066666603,26.53333346,156.9508756,159.0485598,1.290495443,367.2177315,161.3085079,181.1117973,1.247725685,1.660147155
4084.077,1.136358504,0.887574074,12999.93648,203365.8926,273957.1732,7.133333206,26.10000038,158.6915677,156.6344217,1.14435332,379.419515,155.8990815,190.2587204,1.070521966,1.480933795
4193.914,1.130292252,0.880964704,12999.17395,205444.5033,278058.1107,7.0,27.10000038,154.0831966,164.3431848,1.043221315,436.5424372,160.5839259,193.8253415,0.965239291,1.325293864
4239.282,1.157499984,0.904567741,13309.18766,204205.6699,276253.9635,7.26666673,27.06666692,169.4937293,170.1754996,1.260087729,495.1273931,168.534078,193.6343276,1.129094804,1.425899893
4353.995,1.170271282,0.915036326,13499.39868,207408.3418,278999.1354,7.233333429,26.86666616,152.6315727,151.986632,1.194347891,409.887914,154.3765697,182.3261261,1.107359049,1.511064251
4345.188,1.18790857,0.923526617,13499.79683,210069.1602,282316.5807,7.199999968,26.73333359,145.3474134,154.9538975,1.163417168,367.0772629,153.9107227,178.8733514,1.118991204,1.506183321
3994.522,1.193272116,0.93335561,13413.16402,202349.5436,270719.5514,7.166666667,26.60000038,187.9230423,183.4548403,1.690808038,474.6695557,183.4877663,201.4726785,1.581188341,1.915312568
